Game_Name;game_released;game_rating(max5);game_plattaform;game_genre;game_stores;game_tags_name;game_rating(max10);game_top
Tomb Raider (2013);05/03/2013;407;PLAYSTATION;BOARD_GAMES;['App Store', 'Google Play', 'PlayStation Store', 'Steam', 'Xbox 360 Store'];['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Classic', 'Dinosaurs', 'Exploration', 'Female Protagonist', 'Lara Croft', 'Multiplayer', 'Quick-Time Events', 'Retro', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards'];8,14;true
Limbo;21/07/2010;415;NINTENDO_3DS;ACTION;['Epic Games', 'Google Play', 'Nintendo Store', 'Xbox 360 Store', 'GOG', 'Steam', 'Xbox Store', 'PlayStation Store', 'App Store'];['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Controller', 'Dark', 'Difficult', 'Horror', 'Minimalist', 'Physics', 'Puzzle-Platformer', 'Short', 'Side Scroller', 'Singleplayer', 'Surreal', 'controller support', 'overlay'];8,3;true
Half-Life 2;16/11/2004;449;COMMODORE_AMIGA;RACING;['Google Play', 'Steam'];['Captions available', 'Includes Source SDK', 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Classic', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Moddable', 'Multiplayer', 'Physics', 'Sci-fi', 'Silent Protagonist', 'Singleplayer', 'Story Rich', 'Zombies', 'steam-trading-cards'];8,98;true
BioShock;21/08/2007;438;PLAYSTATION_4;INDIE;['App Store', 'PlayStation Store', 'Xbox 360 Store', 'Steam'];['Action RPG', 'Alternate History', 'Partial Controller Support', 'Atmospheric', 'Classic', 'Dark', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Political', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Underwater'];8,76;true
Team Fortress 2;10/10/2007;368;APPLE_II;BOARD_GAMES;['Steam'];['Cross-Platform Multiplayer', 'Captions available', 'Commentary available', 'In-App Purchases', 'Includes level editor', 'Partial Controller Support', 'Steam Achievements', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Cartoon', 'Cartoony', 'Class-Based', 'Comedy', 'Competitive', 'Co-op', 'Crafting', 'First-Person', 'FPS', 'Free to Play', 'Funny', 'Moddable', 'Multiplayer', 'Online Co-Op', 'Robots', 'Tactical', 'Team-Based', 'Trading', 'cooperative', 'steam-trading-cards', 'stats'];7,36;false
PAYDAY 2;13/08/2013;35;XBOX_360;FIGHTING;['Xbox 360 Store', 'Nintendo Store', 'Steam', 'PlayStation Store'];['Full controller support', 'In-App Purchases', 'Steam Achievements', 'Co-op', 'Crime', 'First-Person', 'FPS', 'Funny', 'Great Soundtrack', 'Gun Customization', 'Heist', 'Multiplayer', 'Online Co-Op', 'PvE', 'Singleplayer', 'Stealth', 'Tactical', 'Team-Based', 'cooperative', 'steam-trading-cards'];0,7;false
Fallout 4;09/11/2015;374;PLAYSTATION_4;FIGHTING;['Steam', 'Xbox Store', 'PlayStation Store'];['Full controller support', 'Action RPG', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Exploration', 'First-Person', 'FPS', 'Great Soundtrack', 'Open World', 'Post-apocalyptic', 'RPG', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter'];7,48;false
DOOM (2016);13/05/2016;439;XBOX_360;RACING;['Steam', 'Xbox Store', 'Nintendo Store', 'PlayStation Store'];['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Blood', 'Classic', 'Co-op', 'Demons', 'Difficult', 'Fast-Paced', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Horror', 'Memes', 'Multiplayer', 'Remake', 'Sci-fi', 'Singleplayer', 'Zombies', 'cooperative', 'steam-trading-cards'];8,78;true
Grand Theft Auto IV;29/04/2008;423;SNES;SHOOTER;['PlayStation Store', 'Xbox 360 Store', 'Steam'];['Partial Controller Support', 'Atmospheric', 'Bowling', 'Classic', 'Co-op', 'Crime', 'Dark Humor', 'Funny', 'Gore', 'Moddable', 'Multiplayer', 'Open World', 'Physics', 'Sandbox', 'Satire', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'cooperative'];8,46;true
Red Dead Redemption 2;26/10/2018;455;WII;CREPPY;['Steam', 'Epic Games', 'PlayStation Store', 'Xbox Store'];['In-App Purchases', 'America', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Blood', 'Cinematic', 'Co-op', 'Crime', 'Exploration', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Hunting', 'Mature', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvP', 'Realistic', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'Violent', 'Western', '3rd-Person Perspective', 'Beautiful', 'Masterpiece', '3rd-person', 'Online PvP'];9,1;true
Dota 2;09/07/2013;311;PLAYSTATION_3;INDIE;['Steam'];['In-App Purchases', 'Action RPG', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Character Customization', 'Competitive', 'Co-op', 'Difficult', 'e-sports', 'Fantasy', 'Free to Play', 'MOBA', 'Multiplayer', 'SteamVR Collectibles', 'Online Co-Op', 'PvP', 'Replay Value', 'RPG', 'RTS', 'Team-Based', 'Tower Defense', 'cooperative', 'steam-trading-cards'];6,22;false
The Walking Dead: Season 1;23/04/2012;427;NINTENDO_SWITCH;STRATEGY;['App Store', 'Epic Games', 'Google Play', 'PlayStation Store', 'GOG', 'Nintendo Store', 'Xbox Store', 'Xbox 360 Store', 'Steam'];['Full controller support', 'Steam Achievements', 'Atmospheric', 'Choices Matter', 'Choose Your Own Adventure', 'Comic Book', 'Drama', 'Episodic', 'Gore', 'Horror', 'Mature', 'Point & Click', 'Post-apocalyptic', 'Quick-Time Events', 'Singleplayer', 'Story Rich', 'Survival', 'Third Person', 'Visual Novel', 'Zombies', 'achievements', 'steam-trading-cards'];8,54;true
God of War;20/04/2018;46;NINTENDO_SWITCH;SHOOTER;['PlayStation Store'];['Action-Adventure', 'Atmospheric', 'Blood', 'RPG', 'Singleplayer', '3rd-Person Perspective', 'exclusive', 'true exclusive'];0,92;false
Rocket League;07/07/2015;403;PLAYSTATION_4;INDIE;['Nintendo Store', 'PlayStation Store', 'Steam', 'Xbox Store'];['Cross-Platform Multiplayer', 'Full controller support', '4 Player Local', 'Steam Achievements', 'Steam Cloud', 'Steam Workshop', 'Competitive', 'Co-op', 'Fast-Paced', 'Football', 'Funny', 'Great Soundtrack', 'Local Co-Op', 'Local Multiplayer', 'Multiplayer', 'Online Co-Op', 'Singleplayer', 'Soccer', 'Split Screen', 'Team-Based', 'cooperative', 'steam-trading-cards', 'stats'];8,06;true
Half-Life 2: Lost Coast;27/10/2005;346;NINTENDO_64;ADVENTURE;['Steam'];['Commentary available', 'Aliens', 'Atmospheric', 'Benchmark', 'Classic', 'Dystopian', 'First-Person', 'FPS', 'Free to Play', 'Futuristic', 'Great Soundtrack', 'Illuminati', 'Multiplayer', 'Sci-fi', 'Short', 'Silent Protagonist', 'Singleplayer'];6,92;false
METAL GEAR SOLID V: THE PHANTOM PAIN;01/09/2015;417;ANDROID;CASUAL;['PlayStation Store', 'Xbox Store', 'Xbox 360 Store', 'Steam'];['Captions available', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Cinematic', 'Dark', 'Great Soundtrack', 'Heist', 'Horses', 'Multiplayer', 'Open World', 'Replay Value', 'Sandbox', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Tactical', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards'];8,34;true
Warframe;25/03/2013;348;PLAYSTATION_2;RACING;['PlayStation Store', 'Nintendo Store', 'Xbox Store', 'Steam'];['In-App Purchases', 'Partial Controller Support', 'Co-op', 'Cyberpunk', 'FPS', 'Free to Play', 'Futuristic', 'Hack and Slash', 'Multiplayer', 'Ninja', 'Online Co-Op', 'Parkour', 'PvE', 'RPG', 'Sci-fi', 'Singleplayer', 'Space', 'Third Person', 'Third-Person Shooter', 'cooperative', 'role-playing', 'steam-trading-cards', 'looter shooter'];6,96;false
Metro 2033;16/03/2010;39;PLAYSTATION;ARCADE;['Xbox 360 Store', 'Steam'];['3D Vision', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Based On A Novel', 'Benchmark', 'Dark', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Linear', 'Post-apocalyptic', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Survival Horror'];0,78;false
Destiny 2;06/09/2017;367;PC;STRATEGY;['Steam', 'Xbox Store', 'PlayStation Store'];['Full controller support', 'Action-Adventure', 'Aliens', 'Atmospheric', 'Co-op', 'Exploration', 'First-Person', 'FPS', 'Free to Play', 'Futuristic', 'Great Soundtrack', 'Loot', 'Lore-Rich', 'MMORPG', 'Multiplayer', 'Online Co-Op', 'Open World', 'PvE', 'PvP', 'Sci-fi', 'Singleplayer', 'Space', 'Online multiplayer', 'cooperative', '3rd-Person Perspective', 'Masterpiece'];7,34;false
Horizon Zero Dawn;28/02/2017;435;PLAYSTATION_3;SIMULATION;['Steam', 'PlayStation Store'];['Action RPG', 'Atmospheric', 'Cinematic', 'Drama', 'Experience', 'Exploration', 'Female Protagonist', 'Futuristic', 'Great Soundtrack', 'Lore-Rich', 'Open World', 'Post-apocalyptic', 'Robots', 'RPG', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'role-playing', '3rd-Person Perspective', '3rd-person', 'atmosphere', 'exclusive', 'true exclusive'];8,7;true
The Witcher 2: Assassins of Kings Enhanced Edition;16/04/2012;422;XBOX;SPORTS;['Xbox Store', 'GOG', 'Steam'];['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'Atmospheric', 'Based On A Novel', 'Choices Matter', 'Dark', 'Dark Fantasy', 'Difficult', 'Fantasy', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nonlinear', 'Nudity', 'Open World', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person', 'steam-trading-cards'];8,44;true
Middle-earth: Shadow of Mordor;30/09/2014;391;PLAYSTATION_4;FAMILY;['App Store', 'Xbox 360 Store', 'Xbox Store', 'PlayStation Store', 'Steam'];['Full controller support', 'Action RPG', 'Steam Achievements', 'Assassin', 'Steam Cloud', 'Atmospheric', 'Based On A Novel', 'Dark Fantasy', 'Fantasy', 'Gore', 'Hack and Slash', 'Lore-Rich', 'Magic', 'Open World', 'Parkour', 'RPG', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'steam', 'category', 'steam-trading-cards', 'microtranzations'];7,82;false
Half-Life 2: Episode One;01/06/2006;438;IOS;MASSIVELY_MULTIPLAYER;['Google Play', 'Steam'];['Captions available', 'Commentary available', 'Includes Source SDK', 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Classic', 'Dystopian', 'Episodic', 'First-Person', 'FPS', 'Great Soundtrack', 'Moddable', 'Sci-fi', 'Short', 'Silent Protagonist', 'Singleplayer', 'Story Rich', 'Zombies', 'stats'];8,76;true
Spec Ops: The Line;26/06/2012;407;PC;RPG;['GOG', 'Xbox 360 Store', 'Steam', 'PlayStation Store'];['Cross-Platform Multiplayer', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Based On A Novel', 'Co-op', 'Dark', 'Great Soundtrack', 'Horror', 'Mature', 'Military', 'Multiplayer', 'Political', 'Post-apocalyptic', 'Psychological', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'War', 'stats', 'european'];8,14;true
Terraria;15/05/2011;398;NINTENDO_SWITCH;MASSIVELY_MULTIPLAYER;['Google Play', 'App Store', 'Nintendo Store', 'GOG', 'Steam', 'Xbox Store', 'PlayStation Store'];['2D', 'Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Building', 'Co-op', 'Crafting', 'Exploration', 'Family Friendly', 'Multiplayer', 'Online Co-Op', 'Open World', 'Pixel Graphics', 'Replay Value', 'RPG', 'Sandbox', 'Singleplayer', 'Survival', 'controller support', 'overlay', 'Online multiplayer', 'role-playing', 'steam-trading-cards'];7,96;false
Half-Life 2: Episode Two;09/10/2007;443;PLAYSTATION_3;FAMILY;['Google Play', 'Steam'];['Captions available', 'Commentary available', 'Includes Source SDK', 'Aliens', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Classic', 'Dystopian', 'Episodic', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Multiplayer', 'Post-apocalyptic', 'Sci-fi', 'Silent Protagonist', 'Singleplayer', 'Story Rich', 'Zombies', 'stats'];8,86;true
HITMAN;16/11/2017;392;NINTENDO_DSI;STRATEGY;['Xbox Store', 'Steam', 'PlayStation Store'];['Full controller support', 'Steam Achievements', 'Assassin', 'Steam Cloud', 'Atmospheric', 'Crime', 'Episodic', 'Great Soundtrack', 'Heist', 'Illuminati', 'Nudity', 'Open World', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Tactical', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards'];7,84;false
Amnesia: The Dark Descent;07/09/2010;362;XBOX_360;ACTION;['GOG', 'Steam'];['Captions available', 'Commentary available', 'Full controller support', 'Atmospheric', 'Classic', 'Dark', 'Exploration', 'First-Person', 'Gothic', 'Great Soundtrack', 'Horror', 'Lovecraftian', 'Moddable', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Survival Horror'];7,24;false
Half-Life 2: Deathmatch;01/11/2004;336;XBOX_360;SPORTS;['Steam'];['Includes Source SDK', 'Atmospheric', 'Valve Anti-Cheat enabled', 'Competitive', 'Co-op', 'First-Person', 'FPS', 'Free to Play', 'Funny', 'Multiplayer', 'Physics', 'Sci-fi', 'cooperative'];6,72;false
Rise of the Tomb Raider;10/11/2015;402;GAMECUBE;CASUAL;['App Store', 'Xbox 360 Store', 'Steam', 'Xbox Store'];['Full controller support', 'Action-Adventure', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Exploration', 'Female Protagonist', 'Great Soundtrack', 'Lara Croft', 'Open World', 'Parkour', 'Quick-Time Events', 'RPG', 'Singleplayer', 'Stealth', 'Story Rich', 'Survival', 'Third Person', 'Third-Person Shooter', 'steam-trading-cards'];8,04;true
BioShock 2;09/02/2010;404;XBOX_360;ACTION;['App Store', 'Xbox 360 Store', 'PlayStation Store', 'Steam'];['Full controller support', 'Action RPG', 'Steam Achievements', 'Atmospheric', 'Dark', 'Dystopian', 'First-Person', 'FPS', 'Great Soundtrack', 'Horror', 'Linear', 'Multiplayer', 'Philisophical', 'RPG', 'Sci-fi', 'Singleplayer', 'Steampunk', 'Story Rich', 'Underwater'];8,08;true
Batman: Arkham Knight;23/06/2015;421;PSP;MASSIVELY_MULTIPLAYER;['Epic Games', 'PlayStation Store', 'Steam', 'Xbox Store'];"['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Steam Leaderboards', 'Batman', ""Beat 'em up"", 'Comic Book', 'Dark', 'Detective', 'Horror', 'Mature', 'Open World', 'Sandbox', 'Singleplayer', 'Stealth', 'Story Rich', 'Superhero', 'Third Person', 'steam-trading-cards']";8,42;true
Hotline Miami;22/10/2012;432;MACOS;SHOOTER;['Google Play', 'Steam', 'PlayStation Store', 'GOG'];['1980s', '2D', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Difficult', 'Fast-Paced', 'Gore', 'Great Soundtrack', 'Music', 'Pixel Graphics', 'Psychedelic', 'Retro', 'Singleplayer', 'Surreal', 'Top-Down', 'Top-Down Shooter', 'Violent', 'controller support', 'overlay', 'steam-trading-cards'];8,64;true
Mirror's Edge;11/11/2008;408;PLAYSTATION;CASUAL;['PlayStation Store', 'Xbox 360 Store', 'GOG', 'Steam'];['Full controller support', 'Partial Controller Support', 'Atmospheric', 'Classic', 'Colorful', 'Dystopian', 'Female Protagonist', 'First-Person', 'Futuristic', 'Great Soundtrack', 'Parkour', 'Sci-fi', 'Short', 'Singleplayer', 'Stylized', 'Time Attack', 'european'];8,16;true
Super Meat Boy;20/10/2010;397;APPLE_II;ADVENTURE;['Epic Games', 'Google Play', 'Nintendo Store', 'Xbox 360 Store', 'Steam', 'PlayStation Store'];['2D', 'Full controller support', 'Steam Achievements', 'Steam Leaderboards', 'Comedy', 'Controller', 'Difficult', 'Fast-Paced', 'Funny', 'Gore', 'Great Soundtrack', 'Level Editor', 'Pixel Graphics', 'Replay Value', 'Retro', 'Side Scroller', 'Singleplayer', 'Time Attack', 'steam-trading-cards'];7,94;false
Uncharted 4: A Thiefâ€™s End;10/05/2016;452;GAME_BOY_COLOR;CASUAL;['PlayStation Store'];['Action-Adventure', 'Atmospheric', 'RPG', '3rd-Person Perspective', 'exclusive', 'true exclusive'];9,04;true
Sid Meier's Civilization V;21/09/2010;431;XBOX_360;INDIE;['App Store', 'Steam'];['4X', 'Steam Achievements', 'Steam Cloud', 'Classic', 'Co-op', 'Diplomacy', 'Economy', 'Education', 'Grand Strategy', 'Great Soundtrack', 'Hex Grid', 'Historical', 'Moddable', 'Multiplayer', 'Replay Value', 'Singleplayer', 'Tactical', 'Touch-Friendly', 'Turn-Based', 'Turn-Based Strategy', 'cooperative', 'steam-trading-cards'];8,62;true
Outlast;03/09/2013;362;NINTENDO_DS;SHOOTER;['Steam', 'GOG', 'Xbox Store', 'PlayStation Store'];['Captions available', 'Full controller support', '3D Vision', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Dark', 'Difficult', 'First-Person', 'FPS', 'Gore', 'Horror', 'Nudity', 'Parkour', 'Sci-fi', 'Singleplayer', 'Stealth', 'Survival', 'Survival Horror', 'Walking Simulator', 'controller support', 'steam-trading-cards'];7,24;false
Saints Row: The Third;14/11/2011;392;LINUX;PLATFORMER;['Xbox 360 Store', 'Steam', 'PlayStation Store'];['Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Character Customization', 'Comedy', 'Co-op', 'Crime', 'Female Protagonist', 'Funny', 'Great Soundtrack', 'Multiplayer', 'Online Co-Op', 'Open World', 'RPG', 'Sandbox', 'Satire', 'Singleplayer', 'Third Person', 'Third-Person Shooter', 'Zombies', 'cooperative', 'steam-trading-cards'];7,84;false
The Witcher: Enhanced Edition Director's Cut;16/09/2008;408;MACOS;PLATFORMER;['Steam', 'GOG'];['Action RPG', 'Steam Cloud', 'Atmospheric', 'Based On A Novel', 'Choices Matter', 'Classic', 'Dark Fantasy', 'Fantasy', 'Great Soundtrack', 'Magic', 'Mature', 'Medieval', 'Multiple Endings', 'Nudity', 'Open World', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person'];8,16;true
Borderlands;20/10/2009;387;PLAYSTATION;CASUAL;['PlayStation Store', 'Xbox 360 Store', 'Steam'];['Action RPG', 'Partial Controller Support', 'Steam Achievements', 'Steam Cloud', 'Comedy', 'Co-op', 'Dark Humor', 'First-Person', 'FPS', 'Funny', 'Gore', 'Local Co-Op', 'Loot', 'Multiplayer', 'Online Co-Op', 'Open World', 'Post-apocalyptic', 'RPG', 'Sci-fi', 'Singleplayer', 'cooperative'];7,74;false
Deus Ex: Mankind Divided;23/08/2016;395;LINUX;ARCADE;['Xbox Store', 'Steam', 'PlayStation Store'];['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Conspiracy', 'Cyberpunk', 'Dystopian', 'First-Person', 'FPS', 'Futuristic', 'Great Soundtrack', 'Illuminati', 'Open World', 'RPG', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'Third Person', 'Transhumanism', 'steam-trading-cards'];7,9;false
L.A. Noire;17/05/2011;415;SEGA_SATURN;EDUCATIONAL;['Xbox Store', 'Xbox 360 Store', 'Nintendo Store', 'Steam', 'PlayStation Store'];['3D Vision', 'Partial Controller Support', 'Steam Achievements', 'Atmospheric', 'Cinematic', 'Crime', 'Detective', 'Investigation', 'Mature', 'Mystery', 'Noir', 'Nudity', 'Open World', 'RPG', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter'];8,3;true
Alan Wake;14/05/2010;414;DREAMCAST;SHOOTER;['Epic Games', 'Xbox 360 Store', 'Steam', 'GOG'];['Full controller support', 'Steam Achievements', 'Steam Cloud', 'Atmospheric', 'Cinematic', 'Dark', 'Episodic', 'Great Soundtrack', 'Horror', 'Mystery', 'Narration', 'Singleplayer', 'Story Rich', 'Supernatural', 'Survival', 'Survival Horror', 'Third Person', 'Third-Person Shooter', 'Thriller', 'controller support', 'steam-trading-cards'];8,28;true
Grand Theft Auto: San Andreas;26/10/2004;446;WII_U;RACING;['PlayStation Store', 'Google Play', 'App Store', 'Xbox 360 Store', 'Steam'];['Partial Controller Support', 'Atmospheric', 'Classic', 'Comedy', 'Crime', 'Driving', 'Funny', 'Great Soundtrack', 'Mature', 'Moddable', 'Multiplayer', 'Open World', 'RPG', 'Sandbox', 'Singleplayer', 'Story Rich', 'Third Person', 'Third-Person Shooter', 'Remote Play on Phone', 'Remote Play on Tablet'];8,92;true
Wolfenstein: The New Order;19/05/2014;421;WII;SPORTS;['GOG', 'Xbox 360 Store', 'PlayStation Store', 'Steam', 'Xbox Store'];['Alternate History', 'Partial Controller Support', 'Steam Achievements', 'Steam Leaderboards', 'Atmospheric', 'Dystopian', 'First-Person', 'FPS', 'Gore', 'Great Soundtrack', 'Historical', 'Horror', 'Multiplayer', 'Robots', 'Sci-fi', 'Singleplayer', 'Stealth', 'Story Rich', 'War', 'World War II'];8,42;true
Mass Effect 2;26/01/2010;448;PSP;BOARD_GAMES;['Xbox 360 Store', 'Steam', 'PlayStation Store'];['Action RPG', 'Atmospheric', 'Character Customization', 'Choices Matter', 'Cinematic', 'Classic', 'Female Protagonist', 'Great Soundtrack', 'Real-Time with Pause', 'Romance', 'RPG', 'Sci-fi', 'Singleplayer', 'Space', 'Story Rich', 'Third Person', 'Third-Person Shooter'];8,96;true
